"R0000100","R0618300","R2925010","R2928400","T1215600"
1,-4,-5,-5,-5
2,9,1043,3,1
3,46,600,3,1
4,48,1000,4,-5
5,99,2230,6,-5
6,99,1122,5,4
7,35,-4,-4,1
8,42,740,3,2
9,51,5000,4,3
10,21,-5,-5,-5
11,81,673,4,-5
12,89,-5,-5,-5
13,85,1410,4,-5
14,92,1298,5,5
15,69,-4,-4,3
16,57,1586,3,1
17,88,1200,3,1
18,98,3846,3,1
19,-4,-4,-4,-5
20,63,1586,5,4
21,94,897,5,4
22,84,721,5,4
23,91,-5,-5,-5
24,61,1282,3,-5
25,57,1081,3,1
26,96,-4,-4,-5
27,97,-4,-4,3
28,93,918,3,-5
29,13,1106,3,1
30,9,-4,-4,1
31,-4,525,3,1
32,-4,1068,3,-5
33,-4,-5,-5,8
34,13,302,4,1
35,44,-4,5,-5
36,-4,1602,3,1
37,59,1009,3,1
38,13,1237,3,1
39,29,1178,3,6
40,38,1062,2,2
41,54,1400,4,4
42,16,1800,3,1
43,13,600,3,1
44,37,-4,-4,1
45,49,1738,3,-5
46,63,1442,5,4
47,77,1672,3,1
48,32,1250,3,-5
49,66,1538,4,2
50,79,125,3,1
51,-4,-5,-5,-5
52,86,-5,-5,-5
53,41,500,3,1
54,-4,1400,3,-5
55,-4,-5,-5,-5
56,56,-5,-5,-5
57,38,651,4,1
58,87,1506,5,5
59,97,1250,3,1
60,75,2500,3,-5
61,99,800,4,2
62,31,875,3,1
63,91,-5,-5,4
64,88,-5,-5,-5
65,71,-5,-5,-5
66,18,-4,4,1
67,99,-4,6,5
68,99,2289,5,3
69,78,-5,-5,5
70,-4,500,2,3
71,99,1275,6,-5
72,84,1346,5,4
73,71,1000,3,5
74,93,-4,3,-5
75,68,1346,5,4
76,31,750,3,2
77,84,1153,4,4
78,88,1350,4,-5
79,96,3247,6,-5
80,70,-4,-2,4
81,21,500,2,-5
82,2,-4,-4,1
83,4,-4,-4,0
84,12,-4,-4,1
85,1,-4,-4,0
86,3,-4,-4,0
87,3,950,3,1
88,92,805,3,4
89,80,1429,3,3
90,89,2071,4,4
91,15,1009,4,4
92,37,525,2,1
93,18,675,4,1
94,-4,1073,0,0
95,26,-4,-4,1
96,32,804,3,1
97,65,1351,3,2
98,71,-4,-4,1
99,-4,1250,0,2
100,29,902,3,1
